Nom_Barri,diff_renda,diff_lloguer,diff_regio_rica,diff_bcn,diff_joves,diff_hut,diff_juridic,diff_edu
la Sagrera,458.83749999999986,0.4572727272727272,2.2402889913372554e-4,-0.005213959940960244,-4.726236172159726e-4,1.0638960965208317e-4,4.3197321754777823e-4,0.00842463649513654
el Congrés i els Indians,472.7083333333335,0.4509090909090908,3.6413425406655735e-4,-0.0036984987533713264,0.0015724734955229857,-1.8778883363038124e-4,6.835049616443651e-4,0.009663871547391574
Navas,502.1923076923076,0.5254545454545454,7.825885646819854e-4,-0.004601027448615108,6.339177409590529e-4,0.010462307015886328,2.920484505987998e-4,0.009067311590796644
el Camp de l'Arpa del Clot,542.7649999999999,0.5681818181818182,0.0010699402365514084,-0.007929692671630195,0.001716195224404271,0.20857637784141128,3.664487253872648e-5,0.010315452731700763
el Clot,576.6102941176468,0.5472727272727272,0.0011164419262009004,-0.006617475623644176,7.828579892988352e-4,0.001324758440401863,2.611149045263379e-4,0.010108090249461594
el Parc i la Llacuna del Poblenou,667.1111111111111,0.7245454545454546,0.0014575418537934952,-0.006667486633520825,-0.0031903540559909682,-0.017685754027090907,8.22311451482582e-4,0.010663503090949185
la Vila Olímpica del Poblenou,740.8499999999999,0.6945454545454546,0.0013235055583972518,-0.005141479709463459,0.002217958779552476,-0.011099561251536993,-0.0012301535134570385,0.005023493719531046
el Poblenou,703.26875,0.7018181818181817,0.002411779576234914,-0.007746096745590569,-0.002342678965094347,0.037810216877136656,0.0010906462196577163,0.012119704831489614
Diagonal Mar i el Front Marítim del Poblenou,684.7499999999998,1.0190909090909093,7.010488842432751e-4,-0.005382557922192538,-0.006460307837577267,-0.003694048215140696,-0.004739441259371977,0.0061268994417090165
el Besòs i el Maresme,397.96153846153857,0.49272727272727274,5.018290201785653e-4,-0.011350444882157518,0.002985994136680231,-0.0023359721423642115,0.0010750942762296097,0.006574619695810968
Provençals del Poblenou,540.40625,0.6527272727272728,7.961588336249586e-4,-0.006257928702988446,-0.0017763671079393916,0.0014945578480924768,6.713938328304936e-4,0.00959609550821363
Sant Martí de Provençals,442.2013888888889,0.42636363636363633,6.250468394118546e-4,-0.004611056339041736,7.00269540948531e-4,-0.0014185205514083976,0.001589287674875287,0.008045626881970136
la Verneda i la Pau,416.6547619047619,0.5318181818181817,2.845457786037277e-4,-0.005116162869744673,0.0011241357246409012,-5.033092235902588e-4,0.005689569841917395,0.007062005643513536
