Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,LLOC_NAIX_REGIO,poblacio,total_barri,pct
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",8,2561,22456,0.1140452440327752
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",9,268,22456,0.01193444959030994
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",10,12,22456,5.343783398646241e-4
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11,395,22456,0.017589953687210544
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",12,674,22456,0.03001425008906306
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",13,417,22456,0.01856964731029569
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14,136,22456,0.006056287851799074
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",15,520,22456,0.023156394727467045
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,819,22456,0.036471321695760596
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,13302,22456,0.5923583897399358
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1290,22456,0.05744567153544709
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,70,22456,0.003117206982543641
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",20,0,22456,0
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",23,9,22456,4.007837548984681e-4
2015,2,Eixample,5,el Fort Pienc,1,5,31535,1.5855398763278897e-4
2015,2,Eixample,5,el Fort Pienc,2,12,31535,3.8052957031869353e-4
2015,2,Eixample,5,el Fort Pienc,3,253,31535,0.008022831774219122
2015,2,Eixample,5,el Fort Pienc,4,0,31535,0
2015,2,Eixample,5,el Fort Pienc,5,97,31535,0.003075947360076106
2015,2,Eixample,5,el Fort Pienc,6,311,31535,0.009862058030759473
2015,2,Eixample,5,el Fort Pienc,7,372,31535,0.011796416679879499
2015,2,Eixample,5,el Fort Pienc,8,3031,31535,0.09611542730299667
2015,2,Eixample,5,el Fort Pienc,9,94,31535,0.0029808149674964324
2015,2,Eixample,5,el Fort Pienc,10,17,31535,5.390835579514825e-4
2015,2,Eixample,5,el Fort Pienc,11,959,31535,0.030410654827968925
2015,2,Eixample,5,el Fort Pienc,12,284,31535,0.009005866497542413
2015,2,Eixample,5,el Fort Pienc,13,54,31535,0.0017123830664341208
2015,2,Eixample,5,el Fort Pienc,14,104,31535,0.0032979229427620104
2015,2,Eixample,5,el Fort Pienc,15,474,31535,0.015030918027588394
2015,2,Eixample,5,el Fort Pienc,16,306,31535,0.009703504043126684
2015,2,Eixample,5,el Fort Pienc,17,24366,31535,0.7726652925321071
2015,2,Eixample,5,el Fort Pienc,18,773,31535,0.024512446488029173
2015,2,Eixample,5,el Fort Pienc,19,6,31535,1.9026478515934677e-4
2015,2,Eixample,5,el Fort Pienc,23,17,31535,5.390835579514825e-4
2015,2,Eixample,6,la Sagrada Família,1,18,51085,3.5235391993735933e-4
2015,2,Eixample,6,la Sagrada Família,2,19,51085,3.7192913771165703e-4
2015,2,Eixample,6,la Sagrada Família,3,402,51085,0.007869237545267692
2015,2,Eixample,6,la Sagrada Família,4,0,51085,0
2015,2,Eixample,6,la Sagrada Família,5,90,51085,0.0017617695996867966
2015,2,Eixample,6,la Sagrada Família,6,560,51085,0.010962121953606734
2015,2,Eixample,6,la Sagrada Família,7,600,51085,0.011745130664578643
2015,2,Eixample,6,la Sagrada Família,8,5680,51085,0.11118723695801115
2015,2,Eixample,6,la Sagrada Família,9,125,51085,0.0024469022217872174
2015,2,Eixample,6,la Sagrada Família,10,9,51085,1.7617695996867966e-4
