Any,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,total_locals,n_buits,n_comerc,n_serveis,n_reforma,pct_buits,pct_comerc,pct_serveis
2019,46,el Turó de la Peira,8,Nou Barris,627,12,201,182,5,1.9138755980861244,32.057416267942585,29.02711323763955
2019,47,Can Peguera,8,Nou Barris,44,3,4,10,0,6.8181818181818175,9.090909090909092,22.727272727272727
2019,48,la Guineueta,8,Nou Barris,496,12,105,169,4,2.4193548387096775,21.16935483870968,34.07258064516129
2019,49,Canyelles,8,Nou Barris,175,7,49,50,0,4,28.000000000000004,28.57142857142857
2019,50,les Roquetes,8,Nou Barris,617,31,143,140,6,5.024311183144246,23.176661264181522,22.690437601296594
2019,51,Verdun,8,Nou Barris,675,37,173,196,6,5.481481481481482,25.62962962962963,29.037037037037038
2019,52,la Prosperitat,8,Nou Barris,1076,70,255,437,7,6.5055762081784385,23.698884758364315,40.613382899628256
2019,53,la Trinitat Nova,8,Nou Barris,124,0,35,36,1,0,28.225806451612907,29.03225806451613
2019,54,Torre Baró,8,Nou Barris,37,0,5,12,1,0,13.513513513513514,32.432432432432435
2019,55,Ciutat Meridiana,8,Nou Barris,203,9,56,58,1,4.433497536945813,27.586206896551722,28.57142857142857
2019,56,Vallbona,8,Nou Barris,27,0,6,10,0,0,22.22222222222222,37.03703703703704
2019,57,la Trinitat Vella,9,Sant Andreu,388,21,50,92,1,5.412371134020619,12.886597938144329,23.711340206185564
2019,58,Baró de Viver,9,Sant Andreu,77,2,8,17,0,2.5974025974025974,10.38961038961039,22.07792207792208
2019,59,el Bon Pastor,9,Sant Andreu,989,26,290,250,2,2.62891809908999,29.322548028311424,25.278058645096056
2019,60,Sant Andreu,9,Sant Andreu,2335,94,586,984,18,4.025695931477516,25.096359743040686,42.14132762312634
2019,61,la Sagrera,9,Sant Andreu,908,29,241,374,15,3.1938325991189425,26.54185022026432,41.18942731277533
2019,62,el Congrés i els Indians,9,Sant Andreu,743,30,121,300,5,4.037685060565275,16.28532974427995,40.376850605652756
2019,63,Navas,9,Sant Andreu,719,30,202,302,7,4.172461752433936,28.094575799721838,42.00278164116829
2019,64,el Camp de l'Arpa del Clot,10,Sant Martí,1717,52,403,730,8,3.0285381479324402,23.471170646476413,42.516016307513105
2019,65,el Clot,10,Sant Martí,1110,30,299,457,10,2.7027027027027026,26.936936936936938,41.171171171171174
2019,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,991,12,201,454,9,1.2108980827447022,20.282542885973765,45.81231079717457
2019,67,la Vila Olímpica del Poblenou,10,Sant Martí,457,4,62,280,8,0.87527352297593,13.566739606126916,61.2691466083151
2019,68,el Poblenou,10,Sant Martí,1804,49,414,906,24,2.7161862527716183,22.9490022172949,50.22172949002217
2019,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,522,10,166,254,2,1.9157088122605364,31.800766283524908,48.65900383141762
2019,70,el Besòs i el Maresme,10,Sant Martí,609,10,178,237,3,1.6420361247947455,29.22824302134647,38.91625615763547
2019,71,Provençals del Poblenou,10,Sant Martí,798,27,114,295,6,3.3834586466165413,14.285714285714285,36.96741854636591
2019,72,Sant Martí de Provençals,10,Sant Martí,880,20,232,367,6,2.272727272727273,26.36363636363636,41.70454545454545
2019,73,la Verneda i la Pau,10,Sant Martí,1245,50,280,435,6,4.016064257028113,22.48995983935743,34.93975903614458
2022,1,el Raval,1,Ciutat Vella,2512,333,1002,1001,0,13.256369426751593,39.888535031847134,39.84872611464968
2022,2,el Barri Gòtic,1,Ciutat Vella,1936,408,715,698,0,21.074380165289256,36.93181818181818,36.053719008264466
2022,3,la Barceloneta,1,Ciutat Vella,612,67,179,332,0,10.947712418300654,29.248366013071898,54.248366013071895
2022,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,1862,303,616,788,0,16.27282491944146,33.08270676691729,42.32008592910849
2022,5,el Fort Pienc,2,Eixample,1246,127,392,578,0,10.192616372391655,31.46067415730337,46.3884430176565
2022,6,la Sagrada Família,2,Eixample,2221,181,783,1125,0,8.14948221521837,35.25438991445295,50.65285907248986
2022,7,la Dreta de l'Eixample,2,Eixample,4035,407,1408,1993,0,10.086741016109046,34.89467162329616,49.39281288723668
2022,8,l'Antiga Esquerra de l'Eixample,2,Eixample,2823,255,877,1534,0,9.032943676939425,31.06624158696422,54.33935529578463
2022,9,la Nova Esquerra de l'Eixample,2,Eixample,2303,243,670,1230,0,10.551454624402954,29.092488059053405,53.408597481545804
2022,10,Sant Antoni,2,Eixample,2045,164,828,939,0,8.01955990220049,40.488997555012226,45.91687041564792
2022,11,el Poble Sec,3,Sants-Montjuïc,1288,176,257,698,0,13.664596273291925,19.953416149068325,54.192546583850934
2022,12,la Marina del Prat Vermell,3,Sants-Montjuïc,208,17,24,106,0,8.173076923076923,11.538461538461538,50.96153846153846
2022,13,la Marina de Port,3,Sants-Montjuïc,599,53,195,305,0,8.848080133555927,32.5542570951586,50.918196994991646
2022,14,la Font de la Guatlla,3,Sants-Montjuïc,228,28,54,117,0,12.280701754385964,23.684210526315788,51.31578947368421
2022,15,Hostafrancs,3,Sants-Montjuïc,867,87,299,411,0,10.034602076124568,34.48673587081891,47.40484429065744
2022,16,la Bordeta,3,Sants-Montjuïc,490,62,124,238,0,12.653061224489795,25.30612244897959,48.57142857142857
2022,17,Sants - Badal,3,Sants-Montjuïc,786,104,230,369,0,13.231552162849871,29.262086513994912,46.94656488549619
2022,18,Sants,3,Sants-Montjuïc,1804,204,558,833,0,11.30820399113082,30.93126385809313,46.175166297117514
2022,19,les Corts,4,Les Corts,2135,198,628,1120,0,9.274004683840749,29.414519906323182,52.459016393442624
2022,20,la Maternitat i Sant Ramon,4,Les Corts,773,89,171,435,0,11.51358344113842,22.121604139715394,56.27425614489003
2022,21,Pedralbes,4,Les Corts,275,15,59,168,0,5.454545454545454,21.454545454545453,61.09090909090909
2022,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,77,7,11,44,0,9.090909090909092,14.285714285714285,57.14285714285714
2022,23,Sarrià,5,Sarrià-Sant Gervasi,1033,84,333,522,0,8.131655372700871,32.23620522749274,50.5324298160697
2022,24,les Tres Torres,5,Sarrià-Sant Gervasi,482,18,112,314,0,3.7344398340248963,23.236514522821576,65.14522821576763
2022,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,1162,102,315,635,0,8.777969018932874,27.10843373493976,54.64716006884681
2022,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,2882,252,1050,1408,0,8.743927827897293,36.43303261623873,48.854961832061065
2022,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,1116,129,280,591,0,11.559139784946236,25.089605734767023,52.956989247311824
2022,28,Vallcarca i els Penitents,6,Gràcia,397,37,107,219,0,9.319899244332493,26.952141057934508,55.16372795969773
2022,29,el Coll,6,Gràcia,110,12,36,42,0,10.909090909090908,32.72727272727273,38.18181818181819
2022,30,la Salut,6,Gràcia,412,50,141,183,0,12.135922330097088,34.22330097087379,44.417475728155345
2022,31,la Vila de Gràcia,6,Gràcia,3551,354,1171,1660,0,9.969022810475922,32.976626302450015,46.74739509997184
2022,32,el Camp d'en Grassot i Gràcia Nova,6,Gràcia,1483,147,536,649,0,9.912339851652057,36.14295347269049,43.7626432906271
2022,33,el Baix Guinardó,7,Horta-Guinardó,726,102,175,382,0,14.049586776859504,24.104683195592287,52.61707988980716
2022,34,Can Baró,7,Horta-Guinardó,158,25,39,82,0,15.822784810126583,24.68354430379747,51.89873417721519
2022,35,el Guinardó,7,Horta-Guinardó,1179,201,290,552,0,17.048346055979643,24.597116200169637,46.81933842239186
2022,36,la Font d'en Fargues,7,Horta-Guinardó,117,27,20,62,0,23.076923076923077,17.094017094017094,52.991452991452995
2022,37,el Carmel,7,Horta-Guinardó,769,100,279,318,0,13.003901170351106,36.28088426527958,41.352405721716515
2022,38,la Teixonera,7,Horta-Guinardó,215,45,74,73,0,20.930232558139537,34.418604651162795,33.95348837209302
2022,39,Sant Genís dels Agudells,7,Horta-Guinardó,105,5,25,63,0,4.761904761904762,23.809523809523807,60
2022,40,Montbau,7,Horta-Guinardó,114,8,26,64,0,7.017543859649122,22.807017543859647,56.14035087719298
2022,41,la Vall d'Hebron,7,Horta-Guinardó,123,14,15,66,0,11.38211382113821,12.195121951219512,53.65853658536586
2022,42,la Clota,7,Horta-Guinardó,14,1,0,4,0,7.142857142857142,0,28.57142857142857
2022,43,Horta,7,Horta-Guinardó,907,86,331,395,0,9.481808158765158,36.49393605292172,43.550165380374864
2022,44,Vilapicina i la Torre Llobeta,8,Nou Barris,961,104,278,494,0,10.822060353798127,28.92819979188345,51.4047866805411
2022,45,Porta,8,Nou Barris,870,99,271,411,0,11.379310344827587,31.14942528735632,47.241379310344826
2022,46,el Turó de la Peira,8,Nou Barris,435,33,193,174,0,7.586206896551724,44.36781609195402,40
2022,47,Can Peguera,8,Nou Barris,21,3,3,10,0,14.285714285714285,14.285714285714285,47.61904761904761
2022,48,la Guineueta,8,Nou Barris,351,28,101,176,0,7.977207977207977,28.774928774928775,50.142450142450144
2022,49,Canyelles,8,Nou Barris,123,4,49,58,0,3.2520325203252036,39.83739837398374,47.15447154471545
2022,50,les Roquetes,8,Nou Barris,343,34,140,138,0,9.912536443148689,40.816326530612244,40.2332361516035
2022,51,Verdun,8,Nou Barris,461,57,181,186,0,12.364425162689804,39.26247288503254,40.3470715835141
2022,52,la Prosperitat,8,Nou Barris,884,133,251,406,0,15.04524886877828,28.39366515837104,45.92760180995475
2022,53,la Trinitat Nova,8,Nou Barris,90,6,37,33,0,6.666666666666667,41.11111111111111,36.666666666666664
2022,54,Torre Baró,8,Nou Barris,25,0,5,11,0,0,20,44
2022,55,Ciutat Meridiana,8,Nou Barris,149,9,61,66,0,6.0402684563758395,40.939597315436245,44.29530201342282
2022,56,Vallbona,8,Nou Barris,24,2,5,10,0,8.333333333333332,20.833333333333336,41.66666666666667
2022,57,la Trinitat Vella,9,Sant Andreu,209,24,61,90,0,11.483253588516746,29.1866028708134,43.0622009569378
2022,58,Baró de Viver,9,Sant Andreu,44,5,8,23,0,11.363636363636363,18.181818181818183,52.27272727272727
2022,59,el Bon Pastor,9,Sant Andreu,833,55,277,292,0,6.602641056422569,33.25330132052821,35.05402160864346
2022,60,Sant Andreu,9,Sant Andreu,1985,231,574,945,0,11.637279596977331,28.916876574307302,47.607052896725435
2022,61,la Sagrera,9,Sant Andreu,765,85,235,375,0,11.11111111111111,30.718954248366014,49.01960784313725
2022,62,el Congrés i els Indians,9,Sant Andreu,544,82,112,291,0,15.073529411764705,20.588235294117645,53.49264705882353
2022,63,Navas,9,Sant Andreu,632,78,197,306,0,12.341772151898734,31.170886075949365,48.41772151898734
2022,64,el Camp de l'Arpa del Clot,10,Sant Martí,1362,164,390,663,0,12.041116005873716,28.634361233480178,48.6784140969163
2022,65,el Clot,10,Sant Martí,904,94,283,446,0,10.398230088495575,31.305309734513276,49.336283185840706
2022,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,783,74,179,441,0,9.450830140485312,22.860791826309068,56.32183908045977
2022,67,la Vila Olímpica del Poblenou,10,Sant Martí,404,31,66,262,0,7.673267326732673,16.33663366336634,64.85148514851485
2022,68,el Poblenou,10,Sant Martí,1547,161,418,805,0,10.407239819004525,27.020038784744667,52.03619909502263
2022,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,459,25,145,253,0,5.446623093681917,31.590413943355124,55.119825708061
2022,70,el Besòs i el Maresme,10,Sant Martí,487,37,176,238,0,7.597535934291582,36.139630390143736,48.870636550308014
2022,71,Provençals del Poblenou,10,Sant Martí,572,58,112,309,0,10.13986013986014,19.58041958041958,54.02097902097902
2022,72,Sant Martí de Provençals,10,Sant Martí,697,42,229,352,0,6.025824964131994,32.85509325681492,50.50215208034433
2022,73,la Verneda i la Pau,10,Sant Martí,944,95,279,394,0,10.063559322033898,29.55508474576271,41.73728813559322
2024,1,el Raval,1,Ciutat Vella,2638,215,1077,1126,0,8.150113722517057,40.82638362395755,42.68385140257771
2024,2,el Barri Gòtic,1,Ciutat Vella,2025,214,864,787,0,10.567901234567902,42.66666666666667,38.864197530864196
2024,3,la Barceloneta,1,Ciutat Vella,658,45,196,378,0,6.838905775075988,29.78723404255319,57.446808510638306
2024,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,1939,162,688,892,0,8.354822073233626,35.48220732336256,46.00309437854565
2024,5,el Fort Pienc,2,Eixample,1268,110,399,601,0,8.675078864353312,31.46687697160883,47.397476340694006
2024,6,la Sagrada Família,2,Eixample,2258,165,792,1140,0,7.307351638618247,35.075287865367585,50.487156775907884
2024,7,la Dreta de l'Eixample,2,Eixample,4012,357,1403,2005,0,8.898305084745763,34.97008973080758,49.97507477567298
2024,8,l'Antiga Esquerra de l'Eixample,2,Eixample,2827,190,890,1583,0,6.720905553590378,31.4821365405023,55.995755217545096
2024,9,la Nova Esquerra de l'Eixample,2,Eixample,2339,240,650,1267,0,10.260795211628901,27.789653698161608,54.16844805472424
2024,10,Sant Antoni,2,Eixample,2079,162,818,968,0,7.792207792207792,39.345839345839345,46.56084656084656
2024,11,el Poble Sec,3,Sants-Montjuïc,1335,143,272,746,0,10.711610486891386,20.374531835205993,55.88014981273408
2024,12,la Marina del Prat Vermell,3,Sants-Montjuïc,187,22,23,89,0,11.76470588235294,12.299465240641712,47.593582887700535
2024,13,la Marina de Port,3,Sants-Montjuïc,620,48,202,319,0,7.741935483870968,32.58064516129032,51.45161290322581
2024,14,la Font de la Guatlla,3,Sants-Montjuïc,254,34,59,125,0,13.385826771653544,23.228346456692915,49.21259842519685
2024,15,Hostafrancs,3,Sants-Montjuïc,877,78,297,417,0,8.893956670467503,33.8654503990878,47.5484606613455
2024,16,la Bordeta,3,Sants-Montjuïc,515,65,122,255,0,12.62135922330097,23.689320388349515,49.51456310679612
