Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,total_habitatges,n_fisica,n_juridica,n_public,n_comunitat,n_altres,n_no_consta,pct_fisica,pct_juridica,pct_public,pct_comunitat,pct_altres,pct_no_consta
2018,10,Sant Martí,73,la Verneda i la Pau,13063,12299,272,278,0,11,203,0.9415142004133813,0.020822169486335453,0.02128148204853403,0,8.420730306973895e-4,0.015540075021051826
2019,1,Ciutat Vella,1,el Raval,23112,15801,4918,1770,0,81,542,0.6836708203530634,0.21278989269643475,0.07658359293873312,0,0.0035046728971962616,0.023451021114572517
2019,1,Ciutat Vella,2,el Barri Gòtic,10332,6842,2958,270,0,85,177,0.66221447928765,0.2862950058072009,0.02613240418118467,0,0.008226867982965545,0.01713124274099884
2019,1,Ciutat Vella,3,la Barceloneta,9160,7184,1473,357,0,11,135,0.7842794759825328,0.16080786026200874,0.03897379912663756,0,0.001200873362445415,0.014737991266375546
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14452,10213,3060,895,0,65,219,0.7066841959590369,0.21173539994464435,0.0619291447550512,0,0.00449764738444506,0.015153611956822586
2019,2,Eixample,5,el Fort Pienc,15136,11996,2685,36,0,47,372,0.7925475687103594,0.17739164904862578,0.0023784355179704017,0,0.0031051797040169134,0.024577167019027485
2019,2,Eixample,6,la Sagrada Família,26509,22641,3302,53,0,25,488,0.8540872911086801,0.1245614696895394,0.0019993209853257383,0,9.430759364744049e-4,0.018408842279980384
2019,2,Eixample,7,la Dreta de l'Eixample,25215,18322,6207,64,0,106,516,0.7266309736268094,0.246162998215348,0.0025381717231806465,0,0.0042038469165179455,0.020464009518143964
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,23450,18426,4388,11,0,119,506,0.7857569296375266,0.18712153518123667,4.690831556503198e-4,0,0.005074626865671642,0.021577825159914712
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,29721,25402,3672,73,0,49,525,0.8546818747686821,0.12354900575350762,0.0024561757679755053,0,0.001648665926449312,0.017664277783385484
2019,2,Eixample,10,Sant Antoni,19484,16339,2509,97,0,19,520,0.8385855060562513,0.128772326011086,0.004978443851365223,0,9.7515910490659e-4,0.026688564976390886
2019,3,Sants-Montjuïc,11,el Poble-sec,18520,15725,2124,319,0,39,313,0.8490820734341252,0.11468682505399568,0.017224622030237582,0,0.0021058315334773216,0.016900647948164146
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,776,491,166,109,0,2,8,0.6327319587628866,0.21391752577319587,0.1404639175257732,0,0.002577319587628866,0.010309278350515464
2019,3,Sants-Montjuïc,13,la Marina de Port,13334,11689,618,854,0,24,149,0.876631168441578,0.046347682615869204,0.06404679766011699,0,0.001799910004499775,0.011174441277936103
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,4909,4518,300,14,0,5,72,0.9203503768588307,0.06111224281931147,0.002851904664901202,0,0.001018537380321858,0.014666938276634752
2019,3,Sants-Montjuïc,15,Hostafrancs,8005,6801,1020,28,0,6,150,0.8495940037476577,0.127420362273579,0.0034978138663335416,0,7.495315427857589e-4,0.018738288569643973
2019,3,Sants-Montjuïc,16,la Bordeta,8838,8099,552,17,0,30,140,0.9163837972391944,0.062457569585879155,0.001923512106811496,0,0.0033944331296673455,0.015840687938447614
2019,3,Sants-Montjuïc,17,Sants - Badal,11722,10577,894,25,0,19,207,0.9023204231359836,0.07626684866063811,0.0021327418529261217,0,0.0016208838082238527,0.01765910254222829
